question,answer
"سلام دوستان میخوام یه ورودی بگیرم 
اگر اسمش رضا بود بگه سلام من
اگر اسمش محمد بود بگه سلام دوست من 
اگر غیر از اینا بود بگه سلام غریبه","name = input(""اسم خودتو وارد کن: "")

if name == ""رضا"":
    print(""سلام من"")
elif name == ""محمد"":
    print(""سلام دوست من"")
else:
    print(""سلام غریبه"")"
"سلام دوستان میخوام یه ورودی بگیرم 
اگر اسمش رضا بود بگه سلام من
اگر اسمش محمد بود بگه سلام دوست من 
اگر غیر از اینا بود بگه سلام غریبه",اگه نفرستادن بگو تا بفرستم
پروژه رو نمی‌دونم ولی من دوره شو دارم دیگه,نه ممنون من آموزش نمیخوام فیلم  انجام یک پروژه رو میخوام مثلا بروشور تراکت تغییر عکس و...
فقط،یه پروژه میخوام هدفمند,پروژه رو نمی‌دونم ولی من دوره شو دارم دیگه
من یه دوره فتوشاپ دارم,فقط،یه پروژه میخوام هدفمند
سلام یه پروژه از فتوشاپ میخوام کسی داره بفرسته؟یا کاری که با فتوشاپ آموزش داده بشه مثل ایجاد پوستر ، تغییر عکس و..,من یه دوره فتوشاپ دارم
نشد والا,منم اینو از هوش مصنوعی پرسیدم
نه ینا نه یه کدی داره میزنی درست میشه خودم یادم نیست,سل هاش؟
سلام برا تنظیم کردن طول و عرض جدول در اچ تی ام ال از چه کدی استفاده می‌کنیم؟,"Width , height"
"اها 
فکر کنم بعد از tree باید مسیر پکیج رو بهش بدید",نشد والا
"نه 
دستورى هست كه يك پكيج رو با ماژول هاش نشون ميده","اها 
فکر کنم بعد از tree باید مسیر پکیج رو بهش بدید"
اون tree اسم فایل ماژولی هست که نوشتید ؟!,"نه 
دستورى هست كه يك پكيج رو با ماژول هاش نشون ميده"
"سلام دوستان
من اينجا ماژول رو نوشتمش و داخل يه برنامه ديگه اينپورتش كردم
ولي توي دايركتوري كه ميرم و دستور tree رو ميزنم
درست نشون نميده
Pip install هم كه ميزنم نصب محلي نميشه
ممنون ميشم راهنمايي كنيد كه چجوري درستش كنم🙏","برای pip هم بعدش باید اسم ماژولی که میخواید نصب کنید رو بنویسید . مثلا

Pip install numpy"
"سلام دوستان
من اينجا ماژول رو نوشتمش و داخل يه برنامه ديگه اينپورتش كردم
ولي توي دايركتوري كه ميرم و دستور tree رو ميزنم
درست نشون نميده
Pip install هم كه ميزنم نصب محلي نميشه
ممنون ميشم راهنمايي كنيد كه چجوري درستش كنم🙏",اون tree اسم فایل ماژولی هست که نوشتید ؟!
ممنونم🌹🫂,خواهش میکنم
سبزلرن رضا دولتی هم خوبه,ممنونم🌹🫂
سلام بچه ها پیشنهاد شما واسه یادگیری قابل فهم و درست حسابی پایتون چیه چون هیچ جوره تو مخم نمیره اگه دوره ای هست که بتونه کمکم کنه یه دنیا ازتون ممنون میشم,سبزلرن رضا دولتی هم خوبه
از کی میتونم بپرسم,"توی همین گروه بپرسید 
هرکسی که میتونست راهنمایی میکنه"
قسمتیش رو که نمیتونی متوجه بشی رو از کسی بپرس,از کی میتونم بپرسم
سلام بچه ها پیشنهاد شما واسه یادگیری قابل فهم و درست حسابی پایتون چیه چون هیچ جوره تو مخم نمیره اگه دوره ای هست که بتونه کمکم کنه یه دنیا ازتون ممنون میشم,قسمتیش رو که نمیتونی متوجه بشی رو از کسی بپرس
"+ تکمیل دوره پایتون
+ شروع و تکمیل دوره جنگو

+ تکمیل تا سطح متوسط فرانت( اینو اگه فردی رو میشناسید ک متخصص حتما آموزشش رو ببینید چون به صورت تخصصی ما اموزش نمیدیم)

+ تکمیل بحث دیتابیس

برای دوره پایتون(مقدماتی-متوسط-پیشرفته و جنگو) و دیتابیس تضمین میدم بالاترین کیفیت وبیشترین مطالب تو دوره گفته شه👌❤️


این مسیر به سرعت تکمیل میشه تا بتونید راحت تر آموزش ببینید

مرسی از همراهی همیشگیتون♥️",سلام . الان این چی هست؟ آموزش قراره شروع بشه؟ یا لود شده جایی؟
"اگه همچین ساختاری داری مثلا
```📁 myproject
├── 📁mypak
│  ├── 📄__init__.py
│  ├── 📄m1.py
│  └── 📄m2.py
```
فایل Init میتونه اینجوری باشه:
```# __init__.py

from  . import m1
from  . import m2```
این شاید ساده ترین حالته",انجام میدم حتما
"نه نمیخواد جایی بزارمش بعدا
ولی الان بدون این موارد هم کار نمیکنه
یعنی وقتی که توی (اسپایدر) میخوام ایمپورتش کنم
به عنوان پکیج در نظر نمیگیرتش",این مدلی که فرستادم براتو ببین انجام بده مشکلت حل نشد پیام بده دوباره
ی عکس بدین,میفرستم الان
"نه نمیخواد جایی بزارمش بعدا
ولی الان بدون این موارد هم کار نمیکنه
یعنی وقتی که توی (اسپایدر) میخوام ایمپورتش کنم
به عنوان پکیج در نظر نمیگیرتش",ی عکس بدین
"اگه نمیخاید گیتهاب یا Pypi بذارید نیاز نیستن
ولی اگه میخاید pypi بذارید حتما نیازه","نه نمیخواد جایی بزارمش بعدا
ولی الان بدون این موارد هم کار نمیکنه
یعنی وقتی که توی (اسپایدر) میخوام ایمپورتش کنم
به عنوان پکیج در نظر نمیگیرتش"
"فایل های readme
setup
requiremnet 
میشه کلا نباشن؟","ستاپ باید باشه ولی اون دو تای دیگه الزامی نیست 
بدون این فایل قابل نصب نیست پکیجتون"
"فایل های readme
setup
requiremnet 
میشه کلا نباشن؟","اگه نمیخاید گیتهاب یا Pypi بذارید نیاز نیستن
ولی اگه میخاید pypi بذارید حتما نیازه"
یعنی جور نیست که نتونین چون چند تا فایل رو می خواهد کنار هم بذارین، برای همین اگر منظورتون چیز دیگه ای هست بگید که توضیح بدم,"فایل های readme
setup
requiremnet 
میشه کلا نباشن؟"
یعنی جور نیست که نتونین چون چند تا فایل رو می خواهد کنار هم بذارین، برای همین اگر منظورتون چیز دیگه ای هست بگید که توضیح بدم,ممنون از راهنمایی 🙏🏻🙏🏻
